Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.194679,-0.781108,-9.629479,-0.023865,-0.01486,-0.011238
0.050129,-0.758663,-9.728838,-0.017494,0.000915,0.006805
0.029628,-0.743549,-9.753678,-0.003376,0.011017,-0.003984
0.175525,-0.772878,-9.727791,0.005801,0.024344,0.035337
-0.017957,-0.780959,-9.685444,-0.011722,-0.021263,-0.030913
0.0621,-0.730232,-9.717017,-0.001514,-0.001451,-0.024926
0.05387,-0.827346,-9.686491,0.014991,0.039439,0.046022
0.017807,-0.803404,-9.599552,-0.016326,-0.013899,-0.034851
0.080505,-0.804302,-9.746496,-0.022066,0.015186,0.024173
0.04534,-0.711826,-9.747543,-0.000891,0.005011,-0.011037
0.147094,-0.81358,-9.722703,0.000362,0.020707,0.022546
0.033968,-0.786795,-9.692327,-0.001013,0.001182,-0.001911
0.077812,-0.829142,-9.683498,-0.007805,0.007339,-0.024492
0.149338,-0.784999,-9.720608,0.011493,0.021568,0.022499
-0.001646,-0.87134,-9.605537,0.001713,-0.015282,-0.061143
0.267253,-0.881665,-9.671378,-0.038658,0.018532,0.057203
0.010325,-0.705841,-9.766697,-0.012457,0.000362,0.004456
0.153977,-0.741005,-9.727492,-0.009191,-0.008572,-0.025824
0.11163,-0.75567,-9.784055,-0.001701,0.022552,0.026116
0.043844,-0.757615,-9.768792,0.013363,0.023218,0.024352
0.017508,-0.771681,-9.680356,0.017545,-0.006593,-0.003288
-0.011672,-0.867599,-9.638457,0.009099,-0.029177,-0.053668
0.147094,-0.884957,-9.692776,0.010918,0.001618,0.013651
0.052822,-0.906505,-9.612121,-0.026462,0.021562,0.026036
0.094421,-0.769736,-9.626337,-0.041121,-0.011914,-0.003451
-0.01227,-0.713023,-9.804854,-0.019612,0.016274,0.008586
0.03292,-0.747141,-9.723601,-0.006722,0.022246,-0.00272
0.18989,-0.793229,-9.745598,-0.018772,0.012647,0.025875
-0.09083,-0.700603,-9.742904,0.012668,0.038677,0.009837
0.128539,-0.84246,-9.586084,-0.00616,-0.002789,-0.023068
-0.035763,-0.826448,-9.640253,-0.030807,0.016817,-0.013412
0.11956,-0.789039,-9.709086,-0.016686,0.004056,-0.028511
0.205153,-0.810288,-9.675867,-0.024921,0.009306,0.016702
0.004489,-0.777367,-9.789292,-0.019099,0.025064,0.007245
0.20216,-0.72245,-9.729437,-0.008175,0.001886,-0.002003
0.070479,-0.735768,-9.751134,-0.002535,-0.007466,-0.005272
0.073921,-0.780809,-9.73632,-0.007465,-3.8e-05,0.006279
0.075417,-0.723647,-9.732729,0.005861,-0.000553,0.005567
0.067636,-0.835427,-9.639654,-0.009779,-0.022198,-0.000591
-0.017059,-0.790236,-9.69517,-0.001475,0.004685,-0.013692
0.083797,-0.834529,-9.680954,-0.007504,0.030253,0.049258
-0.087239,-0.796371,-9.635764,-0.021434,-0.017323,-0.036039
0.179715,-0.721702,-9.697863,-0.025127,-0.000636,0.002785
-0.007482,-0.711377,-9.770587,0.000516,0.039141,0.04271
-0.057012,-0.783652,-9.679608,-0.001328,0.033785,0.004853
0.086042,-0.804003,-9.603592,-0.027743,0.005861,-0.02406
0.119261,-0.712574,-9.794529,-0.029479,0.023274,0.041468
-0.099359,-0.679953,-9.822362,0.001179,0.0107,-0.027961
0.212336,-0.727688,-9.742605,0.004901,0.004105,-0.024027
0.115371,-0.828843,-9.660454,-0.017187,-0.01542,0.023356
-0.058059,-0.721403,-9.793931,0.013342,0.038128,0.000616
0.197073,-0.797718,-9.646837,-0.002801,0.014824,0.030182
-0.02469,-0.77228,-9.686491,-0.019719,-0.01138,-0.01923
0.021249,-0.725742,-9.768043,0.001361,0.005562,-0.007584
-0.070928,-0.7434,-9.636362,-0.006979,0.009509,-0.023932
0.126893,-0.734122,-9.758167,-0.021624,0.004868,0.000164
0.031424,-0.686388,-9.733776,-0.007595,-0.004783,-0.033907
0.097863,-0.734122,-9.733926,0.02048,0.024657,-0.020824
0.164302,-0.856376,-9.588029,-0.011936,-0.006368,-0.010766
0.05357,-0.786196,-9.730484,-0.018169,0.011207,0.002827
0.079308,-0.732775,-9.723451,0.005824,0.042288,0.038349
0.088585,-0.82989,-9.621848,-0.023464,-0.020337,-0.011969
0.02888,-0.711078,-9.784803,-0.031402,-0.014561,-0.011678
0.063746,-0.657358,-9.834932,0.014216,0.035759,0.011827
0.085593,-0.741305,-9.680506,0.004286,0.010761,0.015353
-0.006584,-0.761506,-9.688885,-0.00524,-0.009779,-0.037498
0.183156,-0.810737,-9.6416,0.010029,0.035764,0.022958
-0.044891,-0.826299,-9.555109,-0.024868,0.019828,-0.00056
0.157868,-0.729633,-9.762507,-0.033483,0.013024,-0.022293
0.157718,-0.659453,-9.869348,0.018876,0.018324,0.024906
0.008529,-0.778864,-9.656414,-0.013545,0.001008,-0.020645
0.136918,-0.698658,-9.71148,-0.019634,0.027967,0.002313
