Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.159364,0.026187,-9.740959,-0.008804,0.008202,0.000879
0.149338,0.039355,-9.747094,-0.005861,0.008651,0.001344
0.16086,0.02484,-9.747693,-0.005749,0.007988,-0.001428
0.160561,0.038008,-9.722404,-0.006387,0.008204,0.000564
0.154127,0.025438,-9.744999,-0.004424,0.006245,-4.5e-05
0.156521,0.036661,-9.728689,-0.00841,0.009662,0.001276
0.156521,0.042347,-9.719262,-0.005874,0.008349,0.00352
0.156371,0.034267,-9.729886,-0.005864,0.005987,-0.000545
0.155324,0.03696,-9.737069,-0.008372,0.009207,0.000642
0.16505,0.023194,-9.728689,-0.001884,0.009154,-0.000348
0.145897,0.042198,-9.728838,-0.004514,0.010691,0.001492
0.1444,0.019603,-9.712079,-0.005921,0.009535,0.00217
0.164601,0.042497,-9.721805,-0.007175,0.008782,-0.000301
0.147842,0.022446,-9.716568,-0.008533,0.006651,0.001545
0.153379,0.044143,-9.724499,-0.006637,0.008008,0.001179
0.158915,0.035015,-9.752481,-0.004162,0.008363,0.003275
0.16086,0.038906,-9.72824,-0.004303,0.009702,-0.001096
0.158017,0.03307,-9.726893,-0.005626,0.011383,0.001687
0.162955,0.028282,-9.737667,-0.006607,0.008474,-0.001361
0.156521,0.028431,-9.737817,-0.006922,0.007181,0.001399
0.149937,0.027683,-9.748142,-0.004412,0.009202,0.001842
0.163554,0.032322,-9.724798,-0.006183,0.008739,0.001202
0.155025,0.025588,-9.752332,-0.005558,0.012087,0.002863
0.154725,0.047585,-9.756821,-0.005315,0.008355,-0.000124
0.155324,0.026785,-9.754277,-0.00311,0.008288,0.001306
0.159663,0.033818,-9.746496,-0.005285,0.00975,0.004996
0.147094,0.029778,-9.734974,-0.009053,0.007861,0.001649
0.161908,0.044891,-9.74051,-0.003077,0.007178,0.001212
0.160262,0.030526,-9.737517,-0.00643,0.009751,0.000683
0.1447,0.040253,-9.751284,-0.007413,0.007973,0.001425
0.164302,0.028132,-9.739762,-0.006227,0.006711,0.002396
0.153977,0.031723,-9.738415,-0.005357,0.008608,0.002442
0.159663,0.045939,-9.734974,-0.00401,0.007712,0.000261
0.154276,0.024092,-9.745149,-0.003868,0.006742,0.001258
0.162955,0.043245,-9.732879,-0.006034,0.009227,0.001256
0.156371,0.022146,-9.718813,-0.004214,0.008939,0.001227
0.149937,0.042497,-9.722404,-0.008018,0.010382,3.4e-05
