MagneticFieldx,MagneticFieldy,MagneticFieldz
3.638916,-101.999374,-167.207825
3.480408,-101.790604,-167.555191
3.640015,-102.064087,-167.552643
3.263702,-102.008545,-167.373413
3.481369,-102.181595,-167.412186
3.276947,-102.262451,-167.249634
3.32077,-102.072418,-167.567429
3.128159,-102.370132,-167.745117
3.337509,-102.399353,-167.407227
3.318298,-102.123917,-167.209259
3.044601,-101.823853,-167.1577
3.422211,-102.264969,-167.001099
3.385895,-102.12233,-166.890503
3.412384,-102.086227,-167.242676
3.448944,-102.413574,-167.524704
3.121628,-102.271927,-167.091202
3.53598,-102.1931,-167.397247
3.668747,-102.091553,-167.803802
3.339401,-101.944565,-167.092911
3.24054,-102.199387,-167.446671
3.078873,-102.113144,-166.727982
3.456116,-102.117981,-166.9758
3.167938,-101.949554,-167.594788
3.089401,-102.070084,-167.424438
3.334778,-102.29744,-167.168747
3.443298,-102.325867,-167.26355
3.23468,-101.928024,-166.881287
3.757294,-101.935532,-167.189407
3.647507,-101.931122,-167.320374
3.677643,-102.140625,-167.407349
3.611633,-101.850281,-167.794662
3.39798,-101.957275,-166.938644
3.421173,-101.92868,-167.582657
3.576584,-101.892715,-167.557358
3.711349,-102.007523,-166.717697
3.746246,-102.131638,-166.990662
3.99057,-102.001251,-167.837234
3.870499,-102.176163,-167.121124
3.740356,-101.808746,-167.63208
3.787231,-102.221359,-167.346695
3.764282,-102.007584,-167.080032
3.348816,-102.370468,-167.129257
3.517441,-102.458588,-167.212814
3.421799,-102.261505,-167.235901
3.912201,-102.311096,-166.999313
3.647568,-102.406158,-167.160004
3.216278,-102.391251,-166.903427
3.585037,-102.075821,-167.159744
3.250763,-102.25856,-167.168549
3.30069,-102.155853,-166.914001
3.046234,-102.115875,-167.767838
3.251938,-101.939148,-167.18866
3.74823,-102.263,-167.071457
3.589706,-101.788467,-167.607864
3.148895,-102.085968,-167.033722
3.394485,-101.991928,-167.107422
3.225784,-102.180374,-167.149384
3.431335,-102.190613,-167.184387
3.41713,-102.002106,-166.468689
3.224884,-102.384232,-167.106339
3.50235,-102.047043,-166.752243
3.50325,-102.35965,-166.752151
3.452621,-102.123825,-167.100845
